['%OpenBCI Raw EEG Data']
['%']
['%Sample Rate = 250.0 Hz']
['%First Column = SampleIndex']
['%Last Column = Timestamp ']
['%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data']
202, 187500.00, 40140.07, 33232.04, 45244.29, 38692.81, 24295.79, -6383.61, -15974.03, 0.000, 0.000, 0.000, 19:25:50.646
203, 187500.00, 39587.48, 32798.03, 44264.70, 37869.38, 22762.48, -7051.28, -18378.07, 0.000, 0.000, 0.000, 19:25:50.646
204, 187500.00, 39105.94, 32175.67, 43806.64, 37160.46, 22356.86, -6626.60, -21768.41, 0.000, 0.000, 0.000, 19:25:50.646
205, 187500.00, 38772.81, 31799.36, 43730.79, 35673.11, 22363.88, -4752.03, -25204.61, 0.000, 0.000, 0.000, 19:25:50.646
206, 187500.00, 38241.55, 31257.30, 43361.45, 31520.47, 22354.87, -3008.92, -28540.29, 0.000, 0.000, 0.000, 19:25:50.647
207, 187500.00, 37714.34, 30728.30, 42759.54, 27520.00, 22279.50, -1579.96, -30980.39, 0.034, 0.010, 0.976, 19:25:50.647
208, 187500.00, 37221.44, 30013.01, 41870.49, 24191.16, 21984.06, -770.06, -32788.49, 0.000, 0.000, 0.000, 19:25:50.647
209, 187500.00, 36693.61, 29175.46, 40892.71, 21956.59, 21189.32, -185.79, -34362.61, 0.000, 0.000, 0.000, 19:25:50.647
210, 187500.00, 36245.61, 28513.63, 40225.61, 20425.92, 19536.18, 697.98, -35649.06, 0.000, 0.000, 0.000, 19:25:50.647
211, 187500.00, 35849.16, 27876.56, 39627.23, 18844.06, 17994.43, 1583.64, -36536.36, 0.000, 0.000, 0.000, 19:25:50.647
212, 187500.00, 35444.32, 26961.37, 38814.18, 17028.56, 17074.14, 2341.77, -37133.22, 0.000, 0.000, 0.000, 19:25:50.647
213, 187500.00, 35046.17, 25938.44, 37938.87, 14904.21, 16353.97, 2900.88, -37404.95, 0.000, 0.000, 0.000, 19:25:50.647
214, 187500.00, 34624.08, 25109.61, 37190.91, 13232.97, 15515.40, 3406.03, -37417.07, 0.000, 0.000, 0.000, 19:25:50.648
215, 187500.00, 34396.41, 24728.74, 36655.34, 12104.99, 15061.21, 4229.51, -37075.42, 0.000, 0.000, 0.000, 19:25:50.648
216, 187500.00, 34259.05, 24555.63, 36561.71, 10969.65, 14792.16, 5134.49, -36411.15, 0.000, 0.000, 0.000, 19:25:50.648
217, 187500.00, 34057.93, 24266.46, 36455.70, 9678.98, 14184.44, 5702.00, -35663.97, 0.054, 0.028, 0.974, 19:25:50.648
218, 187500.00, 34238.04, 23868.96, 36206.67, 8438.10, 13539.41, 6005.29, -34834.32, 0.000, 0.000, 0.000, 19:25:50.648
219, 187500.00, 37538.12, 23582.59, 35937.76, 7288.05, 13052.86, 6330.71, -33960.05, 0.000, 0.000, 0.000, 19:25:50.648
220, 187500.00, 41977.85, 23160.77, 35242.24, 6043.55, 12254.37, 6361.04, -33386.11, 0.000, 0.000, 0.000, 19:25:50.648
221, 187500.00, 44559.23, 22393.07, 34350.41, 4892.60, 10620.19, 6118.12, -33078.73, 0.000, 0.000, 0.000, 19:25:50.648
222, 187500.00, 46190.71, 21764.65, 33655.96, 4067.64, 8098.24, 6130.86, -32623.69, 0.000, 0.000, 0.000, 19:25:50.649
223, 187500.00, 47184.11, 21310.91, 32768.42, 3424.24, 5237.77, 6319.35, -32049.47, 0.000, 0.000, 0.000, 19:25:50.649
224, 187500.00, 47919.66, 21226.33, 31984.67, 3329.34, 3318.90, 6981.90, -31339.54, 0.000, 0.000, 0.000, 19:25:50.649
225, 187500.00, 48538.53, 21631.86, 31758.97, 3568.81, 2069.32, 8135.83, -30498.26, 0.000, 0.000, 0.000, 19:25:50.649
226, 187500.00, 48921.55, 22487.46, 31784.76, 3970.30, 1100.58, 9591.89, -29421.18, 0.000, 0.000, 0.000, 19:25:50.649
227, 187500.00, 49161.30, 23478.29, 31334.53, 4596.64, -193.72, 11368.43, -28141.94, 0.000, 0.000, 0.000, 19:25:50.649
228, 187500.00, 49429.65, 24481.82, 30048.90, 5281.18, -688.59, 13098.14, -26263.21, 0.050, 0.010, 0.962, 19:25:50.649
229, 187500.00, 49572.12, 25389.41, 28692.22, 5506.04, -472.76, 14264.35, -23868.76, 0.000, 0.000, 0.000, 19:25:50.649
230, 187500.00, 49760.03, 25976.97, 27667.41, 5722.09, -93.21, 15325.50, -21276.22, 0.000, 0.000, 0.000, 19:25:50.650
